image,true_class,predicted_class,confidence,iou,error_type
China_Drone_000211,D00,None,,,FN
China_Drone_000216,D00,D00,0.619844,0.7545,TP
China_Drone_000224,D00,D00,0.611145,0.8958,TP
China_Drone_000228,D10,D10,0.665438,0.782,TP
China_Drone_000228,D10,D10,0.504606,0.7398,TP
China_Drone_000228,None,D10,0.40051,,FP
China_Drone_000236,D10,D10,0.679782,0.8846,TP
China_Drone_000236,None,D10,0.555411,,FP
China_Drone_000236,None,D00,0.525883,,FP
China_Drone_000262,D10,D10,0.678842,0.8443,TP
China_Drone_000279,D20,D20,0.515309,0.8865,TP
China_Drone_000279,None,D20,0.469725,,FP
China_Drone_000287,D00,D00,0.441428,0.574,TP
China_Drone_000297,D10,D10,0.651039,0.8568,TP
China_Drone_000297,D00,D00,0.696993,0.7647,TP
China_Drone_000297,None,D10,0.35142,,FP
China_Drone_000311,D20,D20,0.407556,0.6803,TP
China_Drone_000311,None,D20,0.262119,,FP
China_Drone_000319,D10,D10,0.632819,0.9041,TP
China_Drone_000319,D10,D10,0.380176,0.7474,TP
China_Drone_000319,None,D00,0.500702,,FP
China_Drone_000355,D00,D00,0.686114,0.7242,TP
China_Drone_000355,D00,None,,,FN
China_Drone_000355,None,D20,0.80977,,FP
China_Drone_000355,None,D00,0.692774,,FP
China_Drone_000358,D10,D10,0.518707,0.8074,TP
China_Drone_000358,D10,D10,0.366178,0.7841,TP
China_Drone_000358,D00,None,,,FN
China_Drone_000358,None,D10,0.351477,,FP
China_Drone_000358,None,D10,0.346846,,FP
China_Drone_000358,None,D10,0.333665,,FP
China_Drone_000402,D10,D10,0.576459,0.7479,TP
China_Drone_000402,D10,D10,0.65614,0.7464,TP
China_Drone_000421,D10,D10,0.545618,0.743,TP
China_Drone_000443,D00,D00,0.631334,0.9756,TP
China_Drone_000445,D20,None,,,FN
China_Drone_000449,D00,None,,,FN
China_Drone_000457,D00,None,,,FN
China_Drone_000457,None,D00,0.446255,,FP
China_Drone_000471,D00,D00,0.342191,0.7479,TP
China_Drone_000473,D10,D10,0.630338,0.9326,TP
China_Drone_000473,D00,D00,0.643676,0.8594,TP
China_Drone_000473,None,D00,0.391358,,FP
China_Drone_000473,None,D00,0.299391,,FP
China_Drone_000473,None,D10,0.287031,,FP
China_Drone_000500,D10,D10,0.415319,0.8243,TP
China_Drone_000505,D00,D00,0.610005,0.7935,TP
China_Drone_000511,D10,D10,0.758072,0.8773,TP
China_Drone_000526,D00,None,,,FN
China_Drone_000546,D00,D00,0.497957,0.9646,TP
China_Drone_000546,D00,D00,0.444846,0.884,TP
China_Drone_000547,D10,None,,,FN
China_Drone_000558,D10,D10,0.518565,0.8087,TP
China_Drone_000558,D00,D00,0.707604,0.7855,TP
China_Drone_000560,D10,D10,0.705298,0.8931,TP
China_Drone_000560,D10,D10,0.697144,0.676,TP
China_Drone_000575,D00,D00,0.392949,0.8882,TP
China_Drone_000575,None,D10,0.448229,,FP
China_Drone_000583,D00,D20,0.358857,0.8522,Misclassification
China_Drone_000583,None,D00,0.497501,,FP
China_Drone_000585,D10,D10,0.574158,0.9078,TP
China_Drone_000588,D00,D00,0.561299,0.8855,TP
China_Drone_000588,D10,D10,0.456206,0.5579,TP
China_Drone_000588,D20,None,,,FN
China_Drone_000611,D10,D10,0.685876,0.8928,TP
China_Drone_000614,D00,D00,0.4858,0.8567,TP
China_Drone_000633,D00,D00,0.600212,0.8007,TP
China_Drone_000637,D10,D10,0.684528,0.9225,TP
China_Drone_000637,None,D00,0.532515,,FP
China_Drone_000669,D00,D00,0.477798,0.8683,TP
China_Drone_000669,D10,D10,0.582,0.8228,TP
China_Drone_000669,None,D00,0.579826,,FP
China_Drone_000682,D00,None,,,FN
China_Drone_000682,D00,None,,,FN
China_Drone_000682,D00,None,,,FN
China_Drone_000682,None,D00,0.652797,,FP
China_Drone_000682,None,D00,0.520014,,FP
China_Drone_000688,D00,D00,0.455458,0.9124,TP
China_Drone_000688,None,D00,0.496398,,FP
China_Drone_000688,None,D00,0.313763,,FP
China_Drone_000734,D00,D00,0.604948,0.7983,TP
China_Drone_000767,D10,D10,0.806596,0.8202,TP
China_Drone_000767,None,D00,0.532622,,FP
China_Drone_000767,None,D00,0.336054,,FP
China_Drone_000773,D10,D10,0.604331,0.9234,TP
China_Drone_000781,D10,D10,0.616523,0.8954,TP
China_Drone_000781,None,D00,0.480281,,FP
China_Drone_000783,D00,D00,0.694059,0.8895,TP
China_Drone_000783,D10,D10,0.55047,0.8196,TP
China_Drone_000807,D10,D00,0.579441,0.7888,Misclassification
China_Drone_000840,D10,None,,,FN
China_Drone_000840,D10,None,,,FN
China_Drone_000840,None,D10,0.719038,,FP
China_Drone_000840,None,D00,0.402856,,FP
China_Drone_000840,None,D10,0.294258,,FP
China_Drone_000857,D00,D00,0.638537,0.6504,TP
China_Drone_000867,D00,D00,0.657131,0.8976,TP
China_Drone_000867,D10,D10,0.567075,0.8137,TP
China_Drone_000867,D00,D00,0.313095,0.7882,TP
China_Drone_000867,D10,None,,,FN
China_Drone_000867,None,D00,0.452649,,FP
China_Drone_000867,None,D00,0.33387,,FP
China_Drone_000881,D00,D00,0.313399,0.6529,TP
China_Drone_000888,D00,D00,0.501212,0.9113,TP
China_Drone_000888,D20,None,,,FN
China_Drone_000888,None,D00,0.544844,,FP
China_Drone_000901,D00,D00,0.682922,0.5326,TP
China_Drone_000941,D10,None,,,FN
China_Drone_000947,D20,D20,0.642996,0.9181,TP
China_Drone_000947,D00,None,,,FN
China_Drone_000954,D10,D10,0.538248,0.8382,TP
China_Drone_000954,D00,D00,0.59374,0.7799,TP
China_Drone_000954,D00,D00,0.417237,0.7305,TP
China_Drone_000968,D00,D00,0.530531,0.881,TP
China_Drone_000968,D10,D10,0.587082,0.8431,TP
China_Drone_000968,D10,None,,,FN
China_Drone_000968,None,D10,0.449279,,FP
China_Drone_000968,None,D10,0.292528,,FP
China_Drone_000973,D20,D20,0.321179,0.9387,TP
China_Drone_000973,D00,D00,0.267888,0.7166,TP
China_Drone_000977,D10,D10,0.654904,0.6159,TP
China_Drone_000977,None,D10,0.318514,,FP
China_Drone_000989,D00,D00,0.642188,0.8279,TP
China_Drone_001000,D00,D00,0.443538,0.7009,TP
China_Drone_001000,D00,None,,,FN
China_Drone_001006,D20,None,,,FN
China_Drone_001010,D10,D10,0.491339,0.869,TP
China_Drone_001010,D00,D00,0.67644,0.8358,TP
China_Drone_001010,None,D10,0.441481,,FP
China_Drone_001011,D00,D00,0.389188,0.9047,TP
China_Drone_001011,D10,D10,0.310473,0.7932,TP
China_Drone_001011,D00,D00,0.409706,0.5759,TP
China_Drone_001011,None,D00,0.394402,,FP
China_Drone_001013,None,D40,0.306157,,FP
China_Drone_001017,D00,D00,0.418408,0.8737,TP
China_Drone_001021,D10,None,,,FN
China_Drone_001021,D10,None,,,FN
China_Drone_001021,None,D10,0.382201,,FP
China_Drone_001023,D10,D10,0.666875,0.8216,TP
China_Drone_001029,D10,D10,0.571625,0.8397,TP
China_Drone_001030,D10,None,,,FN
China_Drone_001037,D10,D10,0.55078,0.7606,TP
China_Drone_001037,D00,D00,0.614549,0.6911,TP
China_Drone_001037,D10,D10,0.484254,0.6251,TP
China_Drone_001037,None,D10,0.387548,,FP
China_Drone_001037,None,D10,0.324984,,FP
China_Drone_001043,D10,D10,0.374582,0.8852,TP
China_Drone_001048,D00,D00,0.418624,0.8331,TP
China_Drone_001054,D00,D00,0.698764,0.9403,TP
China_Drone_001054,D10,None,,,FN
China_Drone_001064,D00,None,,,FN
China_Drone_001079,D00,D00,0.375284,0.8968,TP
China_Drone_001079,D00,None,,,FN
China_Drone_001094,D00,D00,0.515441,0.8773,TP
China_Drone_001094,D20,D20,0.664296,0.7717,TP
China_Drone_001094,D10,D10,0.805102,0.7702,TP
China_Drone_001094,D00,D00,0.710371,0.7001,TP
China_Drone_001100,D00,D00,0.729543,0.7942,TP
China_Drone_001140,D20,None,,,FN
China_Drone_001144,D00,None,,,FN
China_Drone_001150,D00,D00,0.482615,0.9642,TP
China_Drone_001150,D10,D10,0.603786,0.8707,TP
China_Drone_001177,D20,None,,,FN
China_Drone_001194,D10,D10,0.501165,0.7141,TP
China_Drone_001197,D10,D10,0.602627,0.753,TP
China_Drone_001201,D00,D00,0.476332,0.8427,TP
China_Drone_001201,D00,D00,0.472737,0.8065,TP
China_Drone_001227,D10,D10,0.622997,0.8943,TP
China_Drone_001244,D20,D20,0.718127,0.8767,TP
China_Drone_001244,D00,D00,0.50066,0.8317,TP
China_Drone_001244,D10,D10,0.725564,0.796,TP
China_Drone_001244,D00,D00,0.723868,0.7901,TP
China_Drone_001244,None,D00,0.628109,,FP
China_Drone_001259,D00,D00,0.672201,0.9159,TP
China_Drone_001278,D00,D00,0.26447,0.7591,TP
China_Drone_001278,D10,D10,0.565877,0.7151,TP
China_Drone_001335,D00,None,,,FN
China_Drone_001335,D00,None,,,FN
China_Drone_001335,None,D00,0.580989,,FP
China_Drone_001335,None,D00,0.38121,,FP
China_Drone_001335,None,D00,0.263157,,FP
China_Drone_001337,D10,D10,0.436834,0.779,TP
China_Drone_001337,None,D10,0.543559,,FP
China_Drone_001356,D10,None,,,FN
China_Drone_001356,D20,None,,,FN
China_Drone_001356,None,D10,0.407154,,FP
China_Drone_001393,D10,D10,0.747311,0.9183,TP
China_Drone_001412,D10,D10,0.67042,0.6771,TP
China_Drone_001413,D10,D10,0.354144,0.7521,TP
China_Drone_001413,D10,None,,,FN
China_Drone_001413,D00,None,,,FN
China_Drone_001416,D10,D10,0.540239,0.8064,TP
China_Drone_001416,D10,D10,0.566802,0.7879,TP
China_Drone_001423,None,D10,0.523436,,FP
China_Drone_001424,D10,D10,0.66758,0.6448,TP
China_Drone_001447,D00,D00,0.631345,0.8647,TP
China_Drone_001468,D20,None,,,FN
China_Drone_001483,D00,D00,0.478663,0.9015,TP
China_Drone_001483,D10,D10,0.44949,0.7362,TP
China_Drone_001493,D10,D10,0.650823,0.8674,TP
China_Drone_001504,D10,D10,0.581791,0.8055,TP
China_Drone_001512,D10,D10,0.720376,0.7972,TP
China_Drone_001516,D00,D10,0.538326,0.7392,Misclassification
China_Drone_001523,D20,D20,0.585398,0.5252,TP
China_Drone_001524,D00,None,,,FN
China_Drone_001524,None,D00,0.415071,,FP
China_Drone_001526,D20,D20,0.766848,0.7069,TP
China_Drone_001540,D00,None,,,FN
China_Drone_001545,D00,D00,0.437862,0.7208,TP
China_Drone_001545,D00,None,,,FN
China_Drone_001545,None,D00,0.460408,,FP
China_Drone_001546,D00,D00,0.475392,0.8389,TP
China_Drone_001584,D10,D10,0.338036,0.893,TP
China_Drone_001584,D10,D10,0.36276,0.7393,TP
China_Drone_001584,D10,None,,,FN
China_Drone_001584,D00,None,,,FN
China_Drone_001584,None,D10,0.584965,,FP
China_Drone_001633,D10,D10,0.690734,0.9312,TP
China_Drone_001633,D10,D10,0.660536,0.7746,TP
China_Drone_001657,D10,D10,0.66367,0.8096,TP
China_Drone_001672,D00,D00,0.479827,0.673,TP
China_Drone_001722,D20,None,,,FN
China_Drone_001725,D00,D00,0.671284,0.7558,TP
China_Drone_001725,D00,D00,0.444586,0.7246,TP
China_Drone_001742,D10,D10,0.707181,0.8252,TP
China_Drone_001743,D00,D00,0.677654,0.8462,TP
China_Drone_001744,D00,D00,0.641082,0.7413,TP
China_Drone_001751,D10,D10,0.636685,0.9537,TP
China_Drone_001770,D10,D10,0.631233,0.8791,TP
China_Drone_001775,D20,D20,0.524391,0.7722,TP
China_Drone_001780,D00,None,,,FN
China_Drone_001780,D00,None,,,FN
China_Drone_001780,D00,None,,,FN
China_Drone_001780,D00,None,,,FN
China_Drone_001780,None,D00,0.508016,,FP
China_Drone_001790,D20,None,,,FN
China_Drone_001790,None,D10,0.342146,,FP
China_Drone_001825,D00,None,,,FN
China_Drone_001825,D00,None,,,FN
China_Drone_001829,D00,D00,0.606034,0.8644,TP
China_Drone_001829,None,D00,0.322117,,FP
China_Drone_001838,D10,D10,0.599837,0.8473,TP
China_Drone_001839,D00,D00,0.44398,0.7518,TP
China_Drone_001858,D20,D20,0.818472,0.9433,TP
China_Drone_001858,D00,None,,,FN
China_Drone_001858,None,D00,0.353597,,FP
China_Drone_001868,D10,D10,0.363406,0.8744,TP
China_Drone_001868,None,D00,0.59963,,FP
China_Drone_001870,D00,D00,0.60387,0.9163,TP
China_Drone_001871,D10,D10,0.702974,0.8188,TP
China_Drone_001871,D10,D10,0.670201,0.7555,TP
China_Drone_001871,None,D00,0.275992,,FP
China_Drone_001878,D20,D20,0.433581,0.5533,TP
China_Drone_001878,D20,None,,,FN
China_Drone_001878,None,D20,0.326376,,FP
China_Drone_001897,D00,D00,0.453971,0.7819,TP
China_Drone_001897,D00,D00,0.514893,0.7172,TP
China_Drone_001899,D10,D10,0.329858,0.5593,TP
China_Drone_001939,D10,D10,0.468705,0.8225,TP
China_Drone_001939,D00,None,,,FN
China_Drone_001940,D40,D40,0.572793,0.7239,TP
China_Drone_001940,None,D40,0.74076,,FP
China_Drone_001941,D00,D00,0.634973,0.8482,TP
China_Drone_001942,D00,D00,0.552347,0.8477,TP
China_Drone_001942,D00,D00,0.321601,0.7659,TP
China_Drone_001948,D00,None,,,FN
China_Drone_001948,None,D00,0.354405,,FP
China_Drone_001950,D00,D00,0.592909,0.861,TP
China_Drone_001950,D10,D10,0.760036,0.8471,TP
China_Drone_001960,D00,None,,,FN
China_Drone_001960,D20,None,,,FN
China_Drone_001960,D00,None,,,FN
China_Drone_001960,None,D20,0.608811,,FP
China_Drone_001962,D00,D00,0.6476,0.9399,TP
China_Drone_001962,None,D10,0.450193,,FP
China_Drone_001966,D00,D00,0.66211,0.8489,TP
China_Drone_001981,D10,D10,0.668806,0.8265,TP
China_Drone_001981,None,D00,0.349527,,FP
China_Drone_002004,D10,None,,,FN
China_Drone_002004,D10,None,,,FN
China_Drone_002028,D10,D10,0.671417,0.8861,TP
China_Drone_002028,D10,D10,0.472684,0.6936,TP
China_Drone_002028,None,D10,0.500084,,FP
China_Drone_002028,None,D00,0.480347,,FP
China_Drone_002039,D00,D00,0.509964,0.9467,TP
China_Drone_002039,D00,D00,0.420455,0.9087,TP
China_Drone_002039,D00,D00,0.586949,0.8104,TP
China_Drone_002039,D10,D10,0.632073,0.6612,TP
China_Drone_002039,D00,None,,,FN
China_Drone_002055,D00,D00,0.632888,0.775,TP
China_Drone_002064,D10,D10,0.488362,0.85,TP
China_Drone_002064,None,D10,0.328788,,FP
China_Drone_002080,D40,D40,0.766751,0.844,TP
China_Drone_002080,D40,D40,0.790711,0.7835,TP
China_Drone_002083,D00,D00,0.537471,0.7844,TP
China_Drone_002083,D00,None,,,FN
China_Drone_002100,D10,D10,0.653899,0.9187,TP
China_Drone_002100,D10,D10,0.560609,0.8055,TP
China_Drone_002104,D00,D00,0.369098,0.8624,TP
China_Drone_002104,D00,D00,0.496052,0.6242,TP
China_Drone_002125,D10,D10,0.576212,0.8546,TP
China_Drone_002125,D10,D10,0.387644,0.5976,TP
China_Drone_002125,None,D10,0.343499,,FP
China_Drone_002164,D10,D10,0.794793,0.9216,TP
China_Drone_002173,D00,D00,0.671378,0.822,TP
China_Drone_002173,D10,None,,,FN
China_Drone_002177,D20,None,,,FN
China_Drone_002177,None,D20,0.397984,,FP
China_Drone_002188,D10,D10,0.506064,0.824,TP
China_Drone_002188,None,D10,0.399801,,FP
China_Drone_002189,D40,D40,0.774435,0.934,TP
China_Drone_002189,D40,D40,0.779815,0.8217,TP
China_Drone_002244,D10,D10,0.357564,0.7987,TP
China_Drone_002245,D10,D10,0.453983,0.8563,TP
China_Drone_002245,D40,D40,0.713361,0.7534,TP
China_Drone_002245,D00,D00,0.282324,0.6943,TP
China_Drone_002245,D40,None,,,FN
China_Drone_002245,D10,None,,,FN
China_Drone_002245,D10,None,,,FN
China_Drone_002245,None,D40,0.659648,,FP
China_Drone_002249,D10,D10,0.636894,0.7774,TP
China_Drone_002249,None,D00,0.288652,,FP
China_Drone_002253,D00,None,,,FN
China_Drone_002298,D10,D10,0.427313,0.8086,TP
China_Drone_002298,D10,D10,0.586939,0.7521,TP
China_Drone_002298,D00,D00,0.308111,0.5163,TP
China_Drone_002298,D00,None,,,FN
China_Drone_002298,None,D10,0.329192,,FP
China_Drone_002310,D10,None,,,FN
China_Drone_002310,None,D20,0.31479,,FP
China_Drone_002316,D00,D00,0.653665,0.8936,TP
China_Drone_002316,D00,D00,0.353287,0.5627,TP
China_Drone_002318,D10,None,,,FN
China_Drone_002319,D10,D10,0.565267,0.9574,TP
China_Drone_002333,D10,D10,0.404031,0.9254,TP
China_Drone_002333,D00,D00,0.702981,0.8844,TP
China_Drone_002333,D00,D00,0.646065,0.8248,TP
China_Drone_002333,D00,D00,0.295361,0.5076,TP
China_Drone_002333,None,D10,0.283978,,FP
China_Drone_002373,D10,D00,0.276293,0.9005,Misclassification
China_Drone_002373,None,D10,0.447781,,FP
China_Drone_002383,D10,None,,,FN
China_Drone_002387,D10,D10,0.705117,0.8648,TP
China_Drone_002387,None,D00,0.395138,,FP
China_Drone_002394,D00,D00,0.6034,0.9196,TP
China_Drone_002396,D10,D10,0.639356,0.8332,TP
China_Drone_002399,D00,None,,,FN
China_Drone_002399,D00,None,,,FN
China_Drone_002399,None,D00,0.524663,,FP
China_MotorBike_000043,D10,D10,0.708209,0.8649,TP
China_MotorBike_000099,D40,D40,0.825245,0.8932,TP
China_MotorBike_000124,D00,D00,0.851354,0.932,TP
China_MotorBike_000124,D00,D00,0.845343,0.906,TP
China_MotorBike_000124,D00,D00,0.859803,0.7742,TP
China_MotorBike_000126,D20,D20,0.879769,0.8622,TP
China_MotorBike_000144,D00,D00,0.683221,0.9434,TP
China_MotorBike_000144,D00,D00,0.679603,0.8771,TP
China_MotorBike_000144,D00,D00,0.524016,0.843,TP
China_MotorBike_000144,None,D00,0.348907,,FP
China_MotorBike_000153,D00,D00,0.788641,0.9569,TP
China_MotorBike_000153,D10,D10,0.37669,0.6431,TP
China_MotorBike_000153,D00,None,,,FN
China_MotorBike_000153,D00,None,,,FN
China_MotorBike_000153,None,D00,0.351366,,FP
China_MotorBike_000155,D00,D00,0.666456,0.8651,TP
China_MotorBike_000155,None,D00,0.421794,,FP
China_MotorBike_000156,D10,D10,0.654619,0.9145,TP
China_MotorBike_000156,D00,None,,,FN
China_MotorBike_000156,None,D10,0.583138,,FP
China_MotorBike_000156,None,D10,0.565345,,FP
China_MotorBike_000156,None,D10,0.558589,,FP
China_MotorBike_000164,D00,D00,0.825949,0.9306,TP
China_MotorBike_000164,D00,D00,0.863553,0.9274,TP
China_MotorBike_000164,D00,D00,0.530639,0.7964,TP
China_MotorBike_000164,D00,D00,0.682619,0.7422,TP
China_MotorBike_000169,D10,D10,0.556358,0.9363,TP
China_MotorBike_000169,D00,D00,0.385159,0.8331,TP
China_MotorBike_000169,D00,D00,0.442652,0.7411,TP
China_MotorBike_000169,D10,D10,0.382112,0.6809,TP
China_MotorBike_000169,None,D00,0.31665,,FP
China_MotorBike_000170,D00,D00,0.834352,0.9159,TP
China_MotorBike_000170,D00,D00,0.742338,0.8916,TP
China_MotorBike_000170,D00,D00,0.676705,0.8374,TP
China_MotorBike_000170,D00,D00,0.839817,0.7964,TP
China_MotorBike_000178,D00,D00,0.731866,0.8828,TP
China_MotorBike_000178,D00,None,,,FN
China_MotorBike_000180,D10,D10,0.595727,0.8578,TP
China_MotorBike_000192,D20,D20,0.8083,0.8819,TP
China_MotorBike_000192,D00,D00,0.624404,0.8116,TP
China_MotorBike_000192,D20,D20,0.789608,0.7387,TP
China_MotorBike_000214,D20,D20,0.852675,0.9381,TP
China_MotorBike_000214,D10,D10,0.619974,0.7867,TP
China_MotorBike_000214,D00,D00,0.278643,0.5038,TP
China_MotorBike_000215,D20,D20,0.851252,0.9383,TP
China_MotorBike_000215,D20,D20,0.744529,0.8121,TP
China_MotorBike_000215,None,D20,0.708208,,FP
China_MotorBike_000218,D00,D00,0.627109,0.9037,TP
China_MotorBike_000218,D10,D10,0.614343,0.8526,TP
China_MotorBike_000224,D00,D00,0.724903,0.8525,TP
China_MotorBike_000225,D00,D00,0.774075,0.974,TP
China_MotorBike_000225,D10,D10,0.58526,0.8473,TP
China_MotorBike_000225,D10,D10,0.484902,0.7759,TP
China_MotorBike_000225,D00,D00,0.696031,0.5696,TP
China_MotorBike_000225,None,D10,0.347961,,FP
China_MotorBike_000230,D10,D10,0.704472,0.8789,TP
China_MotorBike_000230,D00,D00,0.735481,0.8154,TP
China_MotorBike_000230,D10,D10,0.444184,0.7433,TP
China_MotorBike_000230,D00,D00,0.818309,0.7416,TP
China_MotorBike_000230,D00,None,,,FN
China_MotorBike_000257,D00,D00,0.821208,0.9159,TP
China_MotorBike_000257,D00,D00,0.56236,0.8958,TP
China_MotorBike_000261,D10,D10,0.629485,0.8069,TP
China_MotorBike_000261,D10,D10,0.327817,0.7569,TP
China_MotorBike_000261,D10,D10,0.419859,0.7565,TP
China_MotorBike_000261,D10,D10,0.574839,0.5681,TP
China_MotorBike_000302,D10,D10,0.681516,0.8769,TP
China_MotorBike_000304,D40,D40,0.625406,0.8508,TP
China_MotorBike_000304,D40,D40,0.801383,0.8143,TP
China_MotorBike_000306,D00,D00,0.713624,0.9614,TP
China_MotorBike_000306,D10,D10,0.274141,0.6525,TP
China_MotorBike_000306,None,D00,0.277747,,FP
China_MotorBike_000312,D10,D10,0.562327,0.9247,TP
China_MotorBike_000312,D00,D00,0.739406,0.8922,TP
China_MotorBike_000312,D00,D00,0.860883,0.7877,TP
China_MotorBike_000312,D00,D00,0.858918,0.7863,TP
China_MotorBike_000312,D00,D00,0.600458,0.706,TP
China_MotorBike_000312,D00,D00,0.682163,0.6945,TP
China_MotorBike_000312,D10,D10,0.465483,0.6928,TP
China_MotorBike_000317,D20,D20,0.876077,0.8875,TP
China_MotorBike_000344,D10,D10,0.681399,0.8004,TP
China_MotorBike_000353,D20,D20,0.755632,0.9207,TP
China_MotorBike_000374,D00,D00,0.823515,0.9241,TP
China_MotorBike_000374,D00,D00,0.849517,0.924,TP
China_MotorBike_000374,D00,None,,,FN
China_MotorBike_000374,None,D00,0.700769,,FP
China_MotorBike_000388,D00,D00,0.794067,0.9033,TP
China_MotorBike_000388,D10,D10,0.400283,0.745,TP
China_MotorBike_000388,None,D10,0.295457,,FP
China_MotorBike_000390,D00,D00,0.459123,0.8603,TP
China_MotorBike_000390,None,D00,0.610028,,FP
China_MotorBike_000390,None,D00,0.409971,,FP
China_MotorBike_000398,D00,D00,0.65993,0.7172,TP
China_MotorBike_000398,None,D00,0.329467,,FP
China_MotorBike_000400,D00,D00,0.779488,0.9097,TP
China_MotorBike_000402,D40,D40,0.702718,0.8073,TP
China_MotorBike_000403,D10,D10,0.681013,0.936,TP
China_MotorBike_000403,D00,D00,0.750532,0.6858,TP
China_MotorBike_000403,None,D00,0.291035,,FP
China_MotorBike_000405,D00,D00,0.864157,0.8824,TP
China_MotorBike_000405,D20,D20,0.872794,0.8759,TP
China_MotorBike_000405,D20,D20,0.779598,0.86,TP
China_MotorBike_000405,D20,None,,,FN
China_MotorBike_000426,D00,D00,0.721112,0.8168,TP
China_MotorBike_000432,D10,D10,0.617128,0.8646,TP
China_MotorBike_000432,D10,D10,0.576857,0.8133,TP
China_MotorBike_000432,None,D00,0.37263,,FP
China_MotorBike_000435,D10,D10,0.631292,0.8395,TP
China_MotorBike_000435,D10,D10,0.632706,0.7549,TP
China_MotorBike_000435,D00,D00,0.324698,0.6752,TP
China_MotorBike_000435,D00,D00,0.686116,0.586,TP
China_MotorBike_000435,None,D00,0.49267,,FP
China_MotorBike_000441,D10,D10,0.557154,0.9018,TP
China_MotorBike_000461,D10,D10,0.438282,0.8955,TP
China_MotorBike_000461,D10,D10,0.725719,0.7948,TP
China_MotorBike_000479,D10,D10,0.346191,0.7048,TP
China_MotorBike_000479,None,D10,0.494374,,FP
China_MotorBike_000479,None,D10,0.264378,,FP
China_MotorBike_000507,D00,D00,0.754427,0.8572,TP
China_MotorBike_000507,D10,D10,0.578766,0.8229,TP
China_MotorBike_000507,D10,D10,0.599912,0.806,TP
China_MotorBike_000507,D00,None,,,FN
China_MotorBike_000507,None,D00,0.378682,,FP
China_MotorBike_000507,None,D10,0.340055,,FP
China_MotorBike_000507,None,D00,0.299028,,FP
China_MotorBike_000507,None,D10,0.290514,,FP
China_MotorBike_000513,D20,D20,0.877795,0.9502,TP
China_MotorBike_000513,D10,D10,0.685107,0.8845,TP
China_MotorBike_000513,D00,D00,0.308177,0.6269,TP
China_MotorBike_000513,None,D00,0.406533,,FP
China_MotorBike_000514,D00,D00,0.761917,0.9436,TP
China_MotorBike_000514,D00,D00,0.744991,0.8584,TP
China_MotorBike_000534,D00,D00,0.671066,0.734,TP
China_MotorBike_000534,D00,D00,0.49793,0.7233,TP
China_MotorBike_000534,None,D00,0.560407,,FP
China_MotorBike_000538,D20,D20,0.3757,0.5469,TP
China_MotorBike_000540,D00,D00,0.789786,0.8905,TP
China_MotorBike_000540,D20,D20,0.877469,0.8405,TP
China_MotorBike_000540,D20,D20,0.78364,0.8209,TP
China_MotorBike_000542,D40,D40,0.73504,0.879,TP
China_MotorBike_000542,D10,D10,0.769423,0.8696,TP
China_MotorBike_000542,D00,D00,0.716767,0.793,TP
China_MotorBike_000542,D10,D10,0.508876,0.7546,TP
